ds,yhat,yhat_lower,yhat_upper
2015-01-01,738387.2956809232,738387.295674211,738387.2956877195
2016-01-01,740773.5218767457,740773.5218702167,740773.5218841187
2017-01-01,743158.453507689,743158.4535006536,743158.4535148338
2018-01-01,745544.6643810394,745544.6643743304,745544.6643879559
2019-01-01,747930.8830602582,747930.8830537956,747930.8830670704
2020-01-01,750317.1092565741,750317.1092499439,750317.1092635577
2021-01-01,752702.0408873728,752702.0408801278,752702.0408941011
2022-01-01,755088.2517604721,755088.2517536978,755088.2517675692
2023-01-01,757474.470441427,757474.4704343454,757474.470447979
2024-01-01,759860.6966330798,759860.696626018,759860.696639578
2025-01-01,762245.6282685191,762245.6282617664,762245.6282754614
2026-01-01,764631.8391414584,764631.8391346664,764631.8391487837
2027-01-01,767018.0578169437,767018.0578099458,767018.0578238283
2028-01-01,769404.2840167481,769404.2840099444,769404.2840237456
2029-01-01,771789.2156467634,771789.2156404497,771789.2156535703
2030-01-01,774175.4265195271,774175.426512468,774175.4265267105
2031-01-01,776561.645199586,776561.6451934199,776561.645206741
2032-01-01,778947.8713948156,778947.8713882657,778947.8714016003
2033-01-01,781332.8030261651,781332.803019582,781332.8030331443
2034-01-01,783719.0138996576,783719.0138924923,783719.0139064013
2035-01-01,786105.2325786771,786105.2325717435,786105.2325851126
2036-01-01,788491.4587745885,788491.4587676715,788491.4587814542
2037-01-01,790876.3904060421,790876.3903991171,790876.3904128401
2038-01-01,793262.6012787723,793262.601271835,793262.6012856726
2039-01-01,795648.8199584997,795648.8199518878,795648.8199644603
2040-01-01,798035.0461533527,798035.0461461124,798035.0461600613
2041-01-01,800419.9777872311,800419.977780538,800419.9777943663
2042-01-01,802806.1886576078,802806.1886509244,802806.1886645198
2043-01-01,805192.4073380498,805192.4073318889,805192.4073446387
2044-01-01,807578.6335334516,807578.6335267548,807578.6335401866
2045-01-01,809963.5651657236,809963.5651588391,809963.5651723384
2046-01-01,812349.7760377818,812349.7760306268,812349.7760442938
2047-01-01,814735.9947167897,814735.994710229,814735.9947232435
2048-01-01,817122.2209150841,817122.22090838,817122.2209219731
2049-01-01,819507.1525438675,819507.1525371332,819507.1525503634
2050-01-01,821893.3634181552,821893.3634113747,821893.3634249704
2051-01-01,824279.5820984787,824279.5820914638,824279.5821050442
2052-01-01,826665.808295581,826665.8082883783,826665.8083024297
2053-01-01,829050.7399219383,829050.7399149745,829050.7399288118
2054-01-01,831436.9507965492,831436.9507895153,831436.9508038339
2055-01-01,833823.169476046,833823.1694692269,833823.1694828931
2056-01-01,836209.3956690318,836209.3956626307,836209.3956762324
2057-01-01,838594.3273042135,838594.3272974315,838594.3273108908
2058-01-01,840980.5381765361,840980.5381701706,840980.5381834955
2059-01-01,843366.7568583152,843366.7568518814,843366.756865516
2060-01-01,845752.9830534206,845752.9830464454,845752.9830602526
2060-12-31,848137.3177737646,848137.3176761909,848137.3178749923
2061-12-31,850516.1774996718,850516.1771635105,850516.1778514297
2062-12-31,852884.5125973229,852884.5119100938,852884.513267744
2063-12-31,855236.0293464055,855236.0282222279,855236.0304535552
2064-12-31,857680.9051560208,857680.9035447895,857680.9066825511
2065-12-31,860059.7648772076,860059.7627409305,860059.7669282644
2066-12-31,862428.0999709679,862428.097280845,862428.1025715439
2067-12-31,864779.6167247823,864779.6134123103,864779.6199942601
2068-12-31,867224.4925374698,867224.4885344128,867224.4963997026
2069-12-31,869603.352260885,869603.347516387,869603.3567051591
2070-12-31,871971.6873532056,871971.6818501588,871971.6926019187
2071-12-31,874323.204105826,874323.1978060735,874323.2100460046
2072-12-31,876768.079919925,876768.0727460708,876768.0865624888
2073-12-31,879146.9396431332,879146.9315170336,879146.9472415539
2074-12-31,881515.2747363212,881515.2657305234,881515.2829857061
2075-12-31,883866.79148242,883866.7814862197,883866.8005980324
2076-12-31,886311.6672969016,886311.6563539135,886311.6773675525
2077-12-31,888690.5270168041,888690.5154146287,888690.5378563879
2078-12-31,891058.8621236617,891058.849553154,891058.8739776588
2079-12-31,893410.3788711601,893410.365323409,893410.3918731875
